wallet,trades_7d,volume_usd_7d,pnl_usd_7d,win_rate_7d,open_positions,updated_at
94HjQxftTdgKkTLGVEQm11pNr1A8RNSQij2M1fZpdyfn,0,0.0,0.0,0.0,0,1774689144020
o8U8RoxUrXXeLJVtSXy8KK6StMHVUwJfRCLTJWzoEnZ,0,0.0,0.0,0.0,0,1774755248021
yuzLQE5RoVbJDDSdF3FaLaVZdQBruTwD1mfzZtkuy5E,0,0.0,0.0,0.0,0,1774659652650
BfDKp9iGjpjwqbdjorYD7ERujA8wYQ3y8CXRWeGTCLAX,0,0.0,0.0,0.0,0,1774817740546
dbMqcbhG8xiCmkXb1uuW33RmgHFh5MsGDgJzHDkMs3a,0,0.0,0.0,0.0,0,1774808386615
gRUyWf5DH1AtceZesh55ZAfXUJkhv9yDigHdxgsby4y,0,0.0,0.0,0.0,0,1774724929366
gyC9aZcvmZXxzgzbC4Mj95qDqyMrP4dPqmJBkQnnKmp,0,0.0,0.0,0.0,0,1774777185222
jBNLR2bRv5qpjHrBiiWQ4ecWC94tpFrWRVHTyQy8obk,0,0.0,0.0,0.0,0,1774787123371
byKdP6jJ1cNuSrsK4wRK66P2ooXtBzeYrjPk4T4Cpjn,0,0.0,0.0,0.0,0,1774746735449
uUq7esEw4tEKVgwvhH39FxfJbT9QpPxJYYnYxCj1qUv,0,0.0,0.0,0.0,0,1774788182827
m5b1tpAYGFGBRNVxBnBjqWZGMFGzCDcs7xC2nJfBE59,0,0.0,0.0,0.0,0,1774754251318
hPvJR11AsFU16tyXtRW7AjDoGsFxYz3tkQRAvoJVbmE,0,0.0,0.0,0.0,0,1774787051905
noieHiiQLR7m9J8fQ7zzCiV1CfVKzD58VSqnjXzUsyw,0,0.0,0.0,0.0,0,1774780463277
yoncP8dFzfvss67VwJdzcs5piFS5oZoEz485pexBgaX,0,0.0,0.0,0.0,0,1774763162226
B83uZcbBsgcJt4vGmtuWd4UHwAtKZfD1behr9R85htsu,0,0.0,0.0,0.0,0,1774775586279
AuQbtVLAySyKSSUTjTDM5E4YAP51FE4LJamoQKuCTqqp,2035,2707412.02,5166.59,30.92,0,1774674456145
HTXi5JR6yaWWW4FDhdL4Mzu27M6hp2zkr9aw7LfQipj9,0,0.0,0.0,0.0,0,1774797251771
f1DsPzgvvMRpVZdiJPXbrQgaZsaLvnTyodtobkNF4ea,0,0.0,0.0,0.0,0,1774757643280
rNR9iYs5XeYmkAsw5bJNVVEFYCCH8djAT2n6teLaq1q,0,0.0,0.0,0.0,0,1774798396746
tm75xKxb92o6edbCXMXT7zM13meSYpA2rrj7QUzrbaR,0,0.0,0.0,0.0,0,1774766616155
FNibpdCKUAVtBzZ9XR26VKb8LQWnfAv5zaqWC5sJf7kS,0,0.0,0.0,0.0,0,1774750427318
vYJH9mZK9hS9MQYe2sGNzBDDcHbL37MnYpdCCRRNUoP,0,0.0,0.0,0.0,0,1774756482488
gC3xsUcd1hkWPYeuaHjDqx7TqB9qxcK2vgvrQSU1TzV,0,0.0,0.0,0.0,0,1774798418859
ncdCp1KoVfUCMx1KsJMmwT4ZBivbF25YG7qbbaCbTqQ,0,0.0,0.0,0.0,0,1774766509362
us6Eo9roDi8cpXC7BS6HbxpRfAE2kG5E7AydRffhyGS,0,0.0,0.0,0.0,0,1774798448019
h1663Msabpz2YkzfN64XShTAPM6ajeq4cS9pYfEzAM8,0,0.0,0.0,0.0,0,1774701955488
9DJKo1FsD9zU4YdVpcETvW81zkbYsHX9JjHqHvFYdEvt,0,0.0,0.0,0.0,0,1774842494399
yZtXqpLNnrNGywSH6KYGh2ztYnn741ZEdhmRTRn367u,0,0.0,0.0,0.0,0,1774851548100
bvsGbbfBv8WzWUeFBqUikUH1YAnLJuzvD8KH9s2wKuo,0,0.0,0.0,0.0,0,1774748983246
EfLVCLeC64YVm4Kt4NusfacvxQoDew4acpReBuCdk2wB,3838,1081909.96,521.52,52.34,0,1774887493197
2rEEo6bXeXLacwAnQwtw5YEz8CdnTGrQ2LQ2banK4mRw,4694,3953183.81,58.51,27.57,0,1774887493545
5dNePbMfm6ps2gEUPV9NhCmuRPu8Fw1miykrQPSdvGVX,0,0.0,0.0,0.0,0,1774821971797
EtMxXHBuQo9dNcjyTgiN7X7erbcWHtdTWXN2H5uxufsQ,0,0.0,0.0,0.0,0,1774698692078
GgKdb9oa3aVg6pWi4ikBY9HeGn3AY8dSSov3uH1CWLPx,0,0.0,0.0,0.0,0,1774782034721
5an5BEH8dR8J8nThQPJbX4reR7JwdtHhffrCiKrWcgEo,0,0.0,0.0,0.0,0,1774681053409
53MJQsWrJDvoRxrSraZEGELeqNWtMj8wdnaJXmptqCDD,0,0.0,0.0,0.0,0,1774873296154
92nqJwbbzULX7NYBNfdenfxzL5mkMW9AYKbBRjkV33w1,0,0.0,0.0,0.0,0,1774752479511
Aoop4BWfusAZin55TYz53TvbQCMBLKrVesrtPCeQ3kLE,0,0.0,0.0,0.0,0,1774782622699
tZuCsVLWVs6n42fCCXt8TMax6E4n55bSqqPqD69AZBv,0,0.0,0.0,0.0,0,1774759546404
4bEguvspjQFCbkKMgYTRKgAhZparkA5HbT9vmHeMsdg8,0,0.0,0.0,0.0,0,1774712318641
9bV5XNa6aVJ8uTKy6ceH2vjUMgnSMfsGNMes2aiMFBGD,0,0.0,0.0,0.0,0,1774759411446
W9PhTtYNLK9f8n5esKAR5KPyYPtSsWcv1zG69u7hd4E,0,0.0,0.0,0.0,0,1774759608833
9r877vgX1Lxh57w66TJqKy2kER9D6yw7roRpXusmbpdY,0,0.0,0.0,0.0,0,1774745808313
7JiNkCHiKpTLfHQu4ZYA6jxgApLdqoNMLmN7jH8hpa8U,0,0.0,0.0,0.0,0,1774887114715
B6twS2hxncyeb7oskHBgAUCdjFr9KpCxt72fRBNv73Eu,0,0.0,0.0,0.0,0,1774774676715
